 14 15 12  0  9  2  4  3  1 13  8 11 10  5  7  6 , 0 1 0 0
 14 15 12  3  9  2  4  0  1 13  8 11 10  5  7  6 , 1 0 0 0
 14 15 12  3  9  2  0  4  1 13  8 11 10  5  7  6 , 0 0 0 1
 14 15  0  3  9  2 12  4  1 13  8 11 10  5  7  6 , 1 0 0 0
 14  0 15  3  9  2 12  4  1 13  8 11 10  5  7  6 , 0 1 0 0
 14  2 15  3  9  0 12  4  1 13  8 11 10  5  7  6 , 0 0 1 0
 14  2 15  3  9 12  0  4  1 13  8 11 10  5  7  6 , 0 0 1 0
 14  2 15  3  9 12  4  0  1 13  8 11 10  5  7  6 , 0 1 0 0
 14  2 15  3  9 12  4 11  1 13  8  0 10  5  7  6 , 0 1 0 0
 14  2 15  3  9 12  4 11  1 13  8  6 10  5  7  0 , 1 0 0 0
 14  2 15  3  9 12  4 11  1 13  8  6 10  5  0  7 , 1 0 0 0
 14  2 15  3  9 12  4 11  1 13  8  6 10  0  5  7 , 0 0 0 1
 14  2 15  3  9 12  4 11  1  0  8  6 10 13  5  7 , 0 0 0 1
 14  2 15  3  9  0  4 11  1 12  8  6 10 13  5  7 , 1 0 0 0
 14  2 15  3  0  9  4 11  1 12  8  6 10 13  5  7 , 0 1 0 0
 14  2 15  3  1  9  4 11  0 12  8  6 10 13  5  7 , 0 0 1 0
 14  2 15  3  1  9  4 11 12  0  8  6 10 13  5  7 , 0 0 1 0
 14  2 15  3  1  9  4 11 12  8  0  6 10 13  5  7 , 0 1 0 0
 14  2 15  3  1  9  4 11 12  8  5  6 10 13  0  7 , 1 0 0 0
 14  2 15  3  1  9  4 11 12  8  5  6 10  0 13  7 , 1 0 0 0
 14  2 15  3  1  9  4 11 12  8  5  6  0 10 13  7 , 0 0 0 1
 14  2 15  3  1  9  4 11  0  8  5  6 12 10 13  7 , 0 0 1 0
 14  2 15  3  1  9  4 11  8  0  5  6 12 10 13  7 , 0 0 0 1
 14  2 15  3  1  0  4 11  8  9  5  6 12 10 13  7 , 0 0 1 0
 14  2 15  3  1  4  0 11  8  9  5  6 12 10 13  7 , 0 0 0 1
 14  2  0  3  1  4 15 11  8  9  5  6 12 10 13  7 , 1 0 0 0
 14  0  2  3  1  4 15 11  8  9  5  6 12 10 13  7 , 1 0 0 0
  0 14  2  3  1  4 15 11  8  9  5  6 12 10 13  7 , 0 1 0 0
  1 14  2  3  0  4 15 11  8  9  5  6 12 10 13  7 , 0 0 1 0
  1 14  2  3  4  0 15 11  8  9  5  6 12 10 13  7 , 0 0 0 1
  1  0  2  3  4 14 15 11  8  9  5  6 12 10 13  7 , 1 0 0 0
  0  1  2  3  4 14 15 11  8  9  5  6 12 10 13  7 , 0 1 0 0
  4  1  2  3  0 14 15 11  8  9  5  6 12 10 13  7 , 0 1 0 0
  4  1  2  3  8 14 15 11  0  9  5  6 12 10 13  7 , 0 0 1 0
  4  1  2  3  8 14 15 11  9  0  5  6 12 10 13  7 , 0 0 1 0
  4  1  2  3  8 14 15 11  9  5  0  6 12 10 13  7 , 0 0 0 1
  4  1  2  3  8 14  0 11  9  5 15  6 12 10 13  7 , 1 0 0 0
  4  1  2  3  8  0 14 11  9  5 15  6 12 10 13  7 , 0 1 0 0
  4  1  2  3  8  5 14 11  9  0 15  6 12 10 13  7 , 0 1 0 0
  4  1  2  3  8  5 14 11  9 10 15  6 12  0 13  7 , 0 0 1 0
  4  1  2  3  8  5 14 11  9 10 15  6 12 13  0  7 , 0 0 0 1
  4  1  2  3  8  5 14 11  9 10  0  6 12 13 15  7 , 0 0 0 1
  4  1  2  3  8  5  0 11  9 10 14  6 12 13 15  7 , 0 0 1 0
  4  1  2  3  8  5 11  0  9 10 14  6 12 13 15  7 , 0 1 0 0
  4  1  2  3  8  5 11  6  9 10 14  0 12 13 15  7 , 0 1 0 0
  4  1  2  3  8  5 11  6  9 10 14  7 12 13 15  0 , 1 0 0 0
  4  1  2  3  8  5 11  6  9 10 14  7 12 13  0 15 , 0 0 0 1
  4  1  2  3  8  5 11  6  9 10  0  7 12 13 14 15 , 0 0 0 1
  4  1  2  3  8  5  0  6  9 10 11  7 12 13 14 15 , 0 0 1 0
  4  1  2  3  8  5  6  0  9 10 11  7 12 13 14 15 , 0 1 0 0
  4  1  2  3  8  5  6  7  9 10 11  0 12 13 14 15 , 1 0 0 0
  4  1  2  3  8  5  6  7  9 10  0 11 12 13 14 15 , 1 0 0 0
  4  1  2  3  8  5  6  7  9  0 10 11 12 13 14 15 , 1 0 0 0
  4  1  2  3  8  5  6  7  0  9 10 11 12 13 14 15 , 0 0 0 1
  4  1  2  3  0  5  6  7  8  9 10 11 12 13 14 15 , 0 0 0 1
