  1  8 15  0  7  2  9 14  5  3  6 11  4 13 10 12 , 1 0 0 0
  1  8  0 15  7  2  9 14  5  3  6 11  4 13 10 12 , 0 1 0 0
  1  8  9 15  7  2  0 14  5  3  6 11  4 13 10 12 , 1 0 0 0
  1  8  9 15  7  0  2 14  5  3  6 11  4 13 10 12 , 0 1 0 0
  1  8  9 15  7  3  2 14  5  0  6 11  4 13 10 12 , 0 0 1 0
  1  8  9 15  7  3  2 14  5  6  0 11  4 13 10 12 , 0 0 0 1
  1  8  9 15  7  3  0 14  5  6  2 11  4 13 10 12 , 1 0 0 0
  1  8  9 15  7  0  3 14  5  6  2 11  4 13 10 12 , 1 0 0 0
  1  8  9 15  0  7  3 14  5  6  2 11  4 13 10 12 , 0 0 0 1
  0  8  9 15  1  7  3 14  5  6  2 11  4 13 10 12 , 0 0 1 0
  8  0  9 15  1  7  3 14  5  6  2 11  4 13 10 12 , 0 0 1 0
  8  9  0 15  1  7  3 14  5  6  2 11  4 13 10 12 , 0 1 0 0
  8  9  3 15  1  7  0 14  5  6  2 11  4 13 10 12 , 0 1 0 0
  8  9  3 15  1  7  2 14  5  6  0 11  4 13 10 12 , 0 0 1 0
  8  9  3 15  1  7  2 14  5  6 11  0  4 13 10 12 , 0 0 0 1
  8  9  3 15  1  7  2  0  5  6 11 14  4 13 10 12 , 0 0 0 1
  8  9  3  0  1  7  2 15  5  6 11 14  4 13 10 12 , 1 0 0 0
  8  9  0  3  1  7  2 15  5  6 11 14  4 13 10 12 , 0 1 0 0
  8  9  2  3  1  7  0 15  5  6 11 14  4 13 10 12 , 0 1 0 0
  8  9  2  3  1  7 11 15  5  6  0 14  4 13 10 12 , 0 1 0 0
  8  9  2  3  1  7 11 15  5  6 10 14  4 13  0 12 , 0 0 1 0
  8  9  2  3  1  7 11 15  5  6 10 14  4 13 12  0 , 0 0 0 1
  8  9  2  3  1  7 11 15  5  6 10  0  4 13 12 14 , 0 0 0 1
  8  9  2  3  1  7 11  0  5  6 10 15  4 13 12 14 , 1 0 0 0
  8  9  2  3  1  7  0 11  5  6 10 15  4 13 12 14 , 1 0 0 0
  8  9  2  3  1  0  7 11  5  6 10 15  4 13 12 14 , 0 1 0 0
  8  9  2  3  1  6  7 11  5  0 10 15  4 13 12 14 , 0 1 0 0
  8  9  2  3  1  6  7 11  5 13 10 15  4  0 12 14 , 0 0 1 0
  8  9  2  3  1  6  7 11  5 13 10 15  4 12  0 14 , 0 0 1 0
  8  9  2  3  1  6  7 11  5 13 10 15  4 12 14  0 , 0 0 0 1
  8  9  2  3  1  6  7 11  5 13 10  0  4 12 14 15 , 0 0 0 1
  8  9  2  3  1  6  7  0  5 13 10 11  4 12 14 15 , 1 0 0 0
  8  9  2  3  1  6  0  7  5 13 10 11  4 12 14 15 , 1 0 0 0
  8  9  2  3  1  0  6  7  5 13 10 11  4 12 14 15 , 0 0 0 1
  8  0  2  3  1  9  6  7  5 13 10 11  4 12 14 15 , 1 0 0 0
  0  8  2  3  1  9  6  7  5 13 10 11  4 12 14 15 , 0 1 0 0
  1  8  2  3  0  9  6  7  5 13 10 11  4 12 14 15 , 0 1 0 0
  1  8  2  3  5  9  6  7  0 13 10 11  4 12 14 15 , 0 1 0 0
  1  8  2  3  5  9  6  7  4 13 10 11  0 12 14 15 , 0 0 1 0
  1  8  2  3  5  9  6  7  4 13 10 11 12  0 14 15 , 0 0 0 1
  1  8  2  3  5  9  6  7  4  0 10 11 12 13 14 15 , 0 0 0 1
  1  8  2  3  5  0  6  7  4  9 10 11 12 13 14 15 , 1 0 0 0
  1  8  2  3  0  5  6  7  4  9 10 11 12 13 14 15 , 0 1 0 0
  1  8  2  3  4  5  6  7  0  9 10 11 12 13 14 15 , 0 0 1 0
  1  8  2  3  4  5  6  7  9  0 10 11 12 13 14 15 , 0 0 0 1
  1  8  2  3  4  0  6  7  9  5 10 11 12 13 14 15 , 0 0 0 1
  1  0  2  3  4  8  6  7  9  5 10 11 12 13 14 15 , 1 0 0 0
  0  1  2  3  4  8  6  7  9  5 10 11 12 13 14 15 , 0 1 0 0
  4  1  2  3  0  8  6  7  9  5 10 11 12 13 14 15 , 0 0 1 0
  4  1  2  3  8  0  6  7  9  5 10 11 12 13 14 15 , 0 1 0 0
  4  1  2  3  8  5  6  7  9  0 10 11 12 13 14 15 , 1 0 0 0
  4  1  2  3  8  5  6  7  0  9 10 11 12 13 14 15 , 0 0 0 1
  4  1  2  3  0  5  6  7  8  9 10 11 12 13 14 15 , 0 0 0 1
